alpha,beta,chain
-0.19043307,-0.038168497,chain_0
-0.19365439,-0.03531977,chain_0
-0.21341345,-0.036508374,chain_0
-0.21207374,-0.03643372,chain_0
-0.21404229,-0.02866159,chain_0
-0.21404229,-0.02866159,chain_0
-0.21085307,-0.029738283,chain_0
-0.19852121,-0.03330957,chain_0
-0.2006671,-0.034354232,chain_0
-0.2102703,-0.031198794,chain_0
-0.1846442,-0.037053045,chain_0
-0.18745251,-0.032354407,chain_0
-0.19576226,-0.03734289,chain_0
-0.19180171,-0.03457927,chain_0
-0.17974387,-0.039142832,chain_0
-0.18243088,-0.030761609,chain_0
-0.17628781,-0.041142773,chain_0
-0.18853791,-0.036966532,chain_0
-0.19734274,-0.041457422,chain_0
-0.20245637,-0.043118622,chain_0
-0.18588232,-0.04473266,chain_0
-0.18659385,-0.0412699,chain_0
-0.18537663,-0.03341444,chain_0
-0.1912542,-0.03570958,chain_0
-0.1896199,-0.035740502,chain_0
-0.19316061,-0.038894713,chain_0
-0.20232199,-0.046859033,chain_0
-0.19190796,-0.03509855,chain_0
-0.18766865,-0.03629995,chain_0
-0.20415965,-0.03163084,chain_0
-0.20976795,-0.024153505,chain_0
-0.20495604,-0.03857655,chain_0
-0.19929169,-0.028375886,chain_0
-0.2016507,-0.028732758,chain_0
-0.18935753,-0.04054854,chain_0
-0.19179767,-0.03419809,chain_0
-0.19168693,-0.032861084,chain_0
-0.20323062,-0.035362374,chain_0
-0.17974438,-0.035253584,chain_0
-0.21785831,-0.030749308,chain_0
-0.21785831,-0.030749308,chain_0
-0.20015159,-0.031406146,chain_0
-0.19019581,-0.034498956,chain_0
-0.1932266,-0.035226073,chain_0
-0.17938653,-0.037708968,chain_0
-0.203993,-0.034738064,chain_0
-0.16817752,-0.041766714,chain_0
-0.19421758,-0.035671428,chain_0
-0.18720312,-0.034344725,chain_0
-0.17729688,-0.03655554,chain_0
-0.17854834,-0.037005264,chain_0
-0.18157205,-0.03424088,chain_0
-0.19531372,-0.037748568,chain_0
-0.20154123,-0.03027234,chain_0
-0.19403033,-0.02469544,chain_0
-0.19918327,-0.03431707,chain_0
-0.18789563,-0.04447901,chain_0
-0.20582023,-0.029034212,chain_0
-0.20582023,-0.029034212,chain_0
-0.1781424,-0.038941525,chain_0
-0.19678831,-0.028189339,chain_0
-0.19491577,-0.03790722,chain_0
-0.19950998,-0.035302658,chain_0
-0.19045214,-0.033851925,chain_0
-0.20012745,-0.041949097,chain_0
-0.19562916,-0.039167866,chain_0
-0.20125642,-0.029859029,chain_0
-0.19086812,-0.031256314,chain_0
-0.19826537,-0.033636443,chain_0
-0.21633558,-0.03743624,chain_0
-0.18866596,-0.0356743,chain_0
-0.2149075,-0.036279973,chain_0
-0.20978571,-0.026623558,chain_0
-0.20018727,-0.04073337,chain_0
-0.19900346,-0.048374087,chain_0
-0.17514375,-0.038996186,chain_0
-0.18305187,-0.043035693,chain_0
-0.18867065,-0.0416272,chain_0
-0.1915033,-0.038157083,chain_0
-0.21089831,-0.028370406,chain_0
-0.21124722,-0.02932612,chain_0
-0.20523629,-0.04278893,chain_0
-0.20945755,-0.037488334,chain_0
-0.20350145,-0.026998337,chain_0
-0.20684841,-0.030330993,chain_0
-0.17198694,-0.04217301,chain_0
-0.18618034,-0.02859851,chain_0
-0.21097378,-0.03546967,chain_0
-0.20609055,-0.04116665,chain_0
-0.20585181,-0.03329675,chain_0
-0.20288716,-0.0276561,chain_0
-0.20761342,-0.039249476,chain_0
-0.19974375,-0.024047308,chain_0
-0.18441203,-0.04133899,chain_0
-0.19849555,-0.03714056,chain_0
-0.19849555,-0.03714056,chain_0
-0.19396041,-0.027406396,chain_0
-0.19396041,-0.027406396,chain_0
-0.20426501,-0.04229638,chain_0
-0.21124274,-0.032683164,chain_0
-0.20938465,-0.025372986,chain_0
-0.20710899,-0.03059332,chain_0
-0.20303315,-0.027971143,chain_0
-0.19920285,-0.036346763,chain_0
-0.19488825,-0.03744921,chain_0
-0.19249123,-0.038230784,chain_0
-0.18491726,-0.036988158,chain_0
-0.19364464,-0.036603697,chain_0
-0.21027856,-0.027774014,chain_0
-0.22045706,-0.02867686,chain_0
-0.21932347,-0.03328135,chain_0
-0.18034291,-0.035381224,chain_0
-0.18690427,-0.039813425,chain_0
-0.18690427,-0.039813425,chain_0
-0.18417054,-0.035831977,chain_0
-0.1826204,-0.035109024,chain_0
-0.18272759,-0.034201525,chain_0
-0.18304098,-0.035448402,chain_0
-0.21560732,-0.03222873,chain_0
-0.19784643,-0.03046891,chain_0
-0.18605581,-0.034146305,chain_0
-0.1947342,-0.029929113,chain_0
-0.1998162,-0.038634915,chain_0
-0.19880666,-0.03737798,chain_0
-0.20762019,-0.030118294,chain_0
-0.19342463,-0.033649784,chain_0
-0.18910976,-0.03542844,chain_0
-0.17890784,-0.039096665,chain_0
-0.20147046,-0.03366699,chain_0
-0.19003981,-0.039257303,chain_0
-0.19683503,-0.032630723,chain_0
-0.18619058,-0.03915347,chain_0
-0.20759708,-0.04272413,chain_0
-0.17767596,-0.035426553,chain_0
-0.18026501,-0.035315555,chain_0
-0.19123188,-0.031531684,chain_0
-0.18042178,-0.04268623,chain_0
-0.1932449,-0.03433544,chain_0
-0.20436616,-0.034885682,chain_0
-0.18191086,-0.03086302,chain_0
-0.17927839,-0.053720944,chain_0
-0.1785628,-0.051829614,chain_0
-0.1790577,-0.029312648,chain_0
-0.1728066,-0.040172566,chain_0
-0.17886668,-0.03361641,chain_0
-0.1813818,-0.044675983,chain_0
-0.18560593,-0.022475932,chain_0
-0.17134374,-0.032835726,chain_0
-0.18684995,-0.037156463,chain_0
-0.18310943,-0.044986196,chain_0
-0.19402748,-0.028670143,chain_0
-0.19932874,-0.036918245,chain_0
-0.195481,-0.025205636,chain_0
-0.2068256,-0.03839267,chain_0
-0.18539776,-0.028065734,chain_0
-0.18539776,-0.028065734,chain_0
-0.18252379,-0.043022417,chain_0
-0.18850523,-0.027595002,chain_0
-0.19259773,-0.029001353,chain_0
-0.18534936,-0.044589188,chain_0
-0.18258935,-0.040379763,chain_0
-0.18172246,-0.03665674,chain_0
-0.19862543,-0.036532044,chain_0
-0.19530395,-0.032778755,chain_0
-0.19755882,-0.034955442,chain_0
-0.1823427,-0.038224373,chain_0
-0.19007918,-0.040915623,chain_0
-0.20344599,-0.030327989,chain_0
-0.20816268,-0.03751494,chain_0
-0.20075,-0.024758322,chain_0
-0.20973767,-0.03828057,chain_0
-0.20895691,-0.043713033,chain_0
-0.2081479,-0.03133867,chain_0
-0.18896656,-0.039164316,chain_0
-0.1855638,-0.04820742,chain_0
-0.18726791,-0.039818056,chain_0
-0.19280799,-0.04548406,chain_0
-0.18134958,-0.041786753,chain_0
-0.16331853,-0.037488468,chain_0
-0.1946882,-0.03444553,chain_0
-0.19894038,-0.033825014,chain_0
-0.2020615,-0.05067386,chain_0
-0.2020615,-0.05067386,chain_0
-0.21125998,-0.02517931,chain_0
-0.1811161,-0.050964244,chain_0
-0.18337904,-0.025760904,chain_0
-0.19650722,-0.023343584,chain_0
-0.19137786,-0.05071513,chain_0
-0.19305338,-0.041390385,chain_0
-0.18302622,-0.038513236,chain_0
-0.19503126,-0.029521804,chain_0
-0.19503126,-0.029521804,chain_0
-0.20795931,-0.03961501,chain_0
-0.16830748,-0.034035195,chain_0
-0.16758934,-0.039607264,chain_0
-0.19149506,-0.04025667,chain_0
-0.21760298,-0.029307723,chain_0
-0.21337473,-0.033509802,chain_0
-0.20592105,-0.03050851,chain_0
-0.20592105,-0.03050851,chain_0
-0.21190295,-0.03482224,chain_0
-0.20722283,-0.039285798,chain_0
-0.2051215,-0.023493847,chain_0
-0.18267822,-0.028649352,chain_0
-0.18779181,-0.04453732,chain_0
-0.18006203,-0.031274483,chain_0
-0.18566012,-0.04384914,chain_0
-0.20211412,-0.031042337,chain_0
-0.18316944,-0.03126013,chain_0
-0.20211835,-0.039785728,chain_0
-0.20746917,-0.033839032,chain_0
-0.18951058,-0.035763573,chain_0
-0.1856984,-0.036538187,chain_0
-0.19754827,-0.035451677,chain_0
-0.19259517,-0.03142252,chain_0
-0.20457102,-0.0328174,chain_0
-0.20351154,-0.03342158,chain_0
-0.20778194,-0.033128373,chain_0
-0.18897948,-0.042221747,chain_0
-0.19476795,-0.04037525,chain_0
-0.18013522,-0.046578526,chain_0
-0.20886317,-0.02364036,chain_0
-0.20497888,-0.042290647,chain_0
-0.18525875,-0.027752586,chain_0
-0.2038986,-0.04559102,chain_0
-0.19360533,-0.03622742,chain_0
-0.19980161,-0.021327322,chain_0
-0.19717844,-0.028376471,chain_0
-0.18405737,-0.0393409,chain_0
-0.18237403,-0.04384523,chain_0
-0.21253558,-0.03839062,chain_0
-0.20166425,-0.027868852,chain_0
-0.19290279,-0.04079436,chain_0
-0.1910923,-0.036483202,chain_0
-0.19241671,-0.03237737,chain_0
-0.1918804,-0.022022642,chain_0
-0.17898592,-0.04467851,chain_0
-0.16831748,-0.037358373,chain_0
-0.17777209,-0.04399456,chain_0
-0.18337436,-0.03397232,chain_0
-0.19031297,-0.024894517,chain_0
-0.19732368,-0.03191313,chain_0
-0.21044396,-0.03208641,chain_0
-0.20368738,-0.03221306,chain_0
-0.20175268,-0.039282423,chain_0
-0.20943172,-0.032626305,chain_0
-0.19911423,-0.033283234,chain_0
-0.19530816,-0.036467098,chain_0
-0.18849349,-0.025234347,chain_0
-0.19072035,-0.030047702,chain_0
-0.19140191,-0.03344749,chain_0
-0.20803408,-0.032480158,chain_0
-0.19294988,-0.032090943,chain_0
-0.18654168,-0.036859334,chain_0
-0.1717086,-0.033759534,chain_0
-0.18988277,-0.045710523,chain_0
-0.17532337,-0.032193735,chain_0
-0.18244015,-0.028292859,chain_0
-0.18614997,-0.05285512,chain_0
-0.18756822,-0.046972305,chain_0
-0.18791437,-0.04437966,chain_0
-0.22137035,-0.033410788,chain_0
-0.17714632,-0.03847055,chain_0
-0.19808872,-0.030193435,chain_0
-0.18621065,-0.043880932,chain_1
-0.21473865,-0.02577101,chain_1
-0.21353526,-0.031183429,chain_1
-0.1905959,-0.035729602,chain_1
-0.19170792,-0.033182558,chain_1
-0.17254655,-0.04410058,chain_1
-0.20190498,-0.026687276,chain_1
-0.17979944,-0.050354533,chain_1
-0.19270635,-0.041160278,chain_1
-0.19407852,-0.04565478,chain_1
-0.17998976,-0.02845088,chain_1
-0.17965315,-0.02672339,chain_1
-0.18225308,-0.030165993,chain_1
-0.18225308,-0.030165993,chain_1
-0.1746881,-0.04645803,chain_1
-0.16227938,-0.048308466,chain_1
-0.21857774,-0.027748432,chain_1
-0.17609346,-0.03907312,chain_1
-0.18143982,-0.035290092,chain_1
-0.1962646,-0.04260086,chain_1
-0.19444025,-0.04063747,chain_1
-0.19549221,-0.040074296,chain_1
-0.17756827,-0.037063893,chain_1
-0.19433178,-0.030298982,chain_1
-0.19252235,-0.0381058,chain_1
-0.19938089,-0.029385073,chain_1
-0.1914741,-0.038120974,chain_1
-0.18553868,-0.033923343,chain_1
-0.18553868,-0.033923343,chain_1
-0.18553868,-0.033923343,chain_1
-0.19840112,-0.03389146,chain_1
-0.19410859,-0.03265764,chain_1
-0.19410859,-0.03265764,chain_1
-0.1998014,-0.041801654,chain_1
-0.18909883,-0.04354942,chain_1
-0.18179412,-0.034435704,chain_1
-0.1796207,-0.039793458,chain_1
-0.19957125,-0.029680187,chain_1
-0.18801408,-0.033518195,chain_1
-0.18448119,-0.034324996,chain_1
-0.1943526,-0.039591104,chain_1
-0.17411567,-0.044336256,chain_1
-0.20437287,-0.026891781,chain_1
-0.20437287,-0.026891781,chain_1
-0.18572782,-0.039626926,chain_1
-0.20406483,-0.02419823,chain_1
-0.19890796,-0.025070457,chain_1
-0.20899858,-0.039825033,chain_1
-0.20695639,-0.034740027,chain_1
-0.1890781,-0.040681075,chain_1
-0.19983907,-0.040837754,chain_1
-0.19775425,-0.034724686,chain_1
-0.19840696,-0.042354308,chain_1
-0.1824143,-0.049767382,chain_1
-0.1731704,-0.029248111,chain_1
-0.18223085,-0.034992747,chain_1
-0.17947681,-0.03477526,chain_1
-0.17947681,-0.03477526,chain_1
-0.21815488,-0.031624354,chain_1
-0.177979,-0.04226214,chain_1
-0.20146681,-0.038681354,chain_1
-0.20984396,-0.029399287,chain_1
-0.20984396,-0.029399287,chain_1
-0.2084413,-0.03633242,chain_1
-0.20388938,-0.034819044,chain_1
-0.17455728,-0.03496783,chain_1
-0.19299336,-0.04139293,chain_1
-0.19480665,-0.036300935,chain_1
-0.19726509,-0.040588338,chain_1
-0.19842035,-0.026873743,chain_1
-0.19500041,-0.04064209,chain_1
-0.18993613,-0.041290496,chain_1
-0.18979621,-0.029187039,chain_1
-0.19145717,-0.035296645,chain_1
-0.1950236,-0.04127532,chain_1
-0.17692907,-0.03002408,chain_1
-0.17529356,-0.049947903,chain_1
-0.17851521,-0.046199474,chain_1
-0.20283249,-0.03241266,chain_1
-0.18443382,-0.03351193,chain_1
-0.17478341,-0.04433711,chain_1
-0.1806442,-0.046579055,chain_1
-0.19209124,-0.04100432,chain_1
-0.20378587,-0.03757772,chain_1
-0.21365498,-0.028850872,chain_1
-0.21086903,-0.03215432,chain_1
-0.18200539,-0.04131518,chain_1
-0.20354797,-0.03208871,chain_1
-0.19579378,-0.04107011,chain_1
-0.18911827,-0.034597076,chain_1
-0.20386976,-0.034748252,chain_1
-0.18853742,-0.03720455,chain_1
-0.1869664,-0.037382435,chain_1
-0.21639854,-0.039482705,chain_1
-0.21161479,-0.03887563,chain_1
-0.21130629,-0.04217299,chain_1
-0.18208526,-0.040596433,chain_1
-0.17494425,-0.04051784,chain_1
-0.17494425,-0.04051784,chain_1
-0.19331682,-0.031146832,chain_1
-0.19440828,-0.038109932,chain_1
-0.19440828,-0.038109932,chain_1
-0.18796714,-0.03717557,chain_1
-0.18669856,-0.033080436,chain_1
-0.18306607,-0.027453352,chain_1
-0.18536969,-0.02826517,chain_1
-0.18993248,-0.0371497,chain_1
-0.18993248,-0.0371497,chain_1
-0.17892642,-0.03639884,chain_1
-0.21963625,-0.035670806,chain_1
-0.18626672,-0.03217054,chain_1
-0.17423564,-0.033798907,chain_1
-0.17111804,-0.0252016,chain_1
-0.18580717,-0.05077567,chain_1
-0.17991124,-0.04884749,chain_1
-0.196384,-0.02319599,chain_1
-0.18792146,-0.029461263,chain_1
-0.19554114,-0.039369352,chain_1
-0.18222737,-0.03080125,chain_1
-0.19729035,-0.03977736,chain_1
-0.20029974,-0.043358635,chain_1
-0.20082808,-0.04204635,chain_1
-0.20861298,-0.04001951,chain_1
-0.19700278,-0.025194043,chain_1
-0.19323881,-0.037445854,chain_1
-0.19266707,-0.032320682,chain_1
-0.18270168,-0.024010997,chain_1
-0.19471617,-0.023978762,chain_1
-0.2073454,-0.033625714,chain_1
-0.19384004,-0.038814913,chain_1
-0.1706523,-0.04467708,chain_1
-0.19405548,-0.030107759,chain_1
-0.21651922,-0.039077062,chain_1
-0.2154073,-0.037695523,chain_1
-0.18398999,-0.04170688,chain_1
-0.17968917,-0.03977059,chain_1
-0.19462894,-0.03303029,chain_1
-0.19462894,-0.03303029,chain_1
-0.20004997,-0.03600566,chain_1
-0.16870175,-0.0448329,chain_1
-0.18076108,-0.033975307,chain_1
-0.2015204,-0.034475096,chain_1
-0.18438254,-0.043934327,chain_1
-0.2090366,-0.04065192,chain_1
-0.20378713,-0.028811324,chain_1
-0.18150587,-0.042091396,chain_1
-0.1877261,-0.035598654,chain_1
-0.21028224,-0.030648105,chain_1
-0.19760987,-0.026664637,chain_1
-0.19510311,-0.03246596,chain_1
-0.1805643,-0.040411726,chain_1
-0.20481376,-0.031585377,chain_1
-0.17275393,-0.047238547,chain_1
-0.17592323,-0.035630304,chain_1
-0.20059995,-0.03359693,chain_1
-0.22413325,-0.031380862,chain_1
-0.19991873,-0.03464408,chain_1
-0.17658317,-0.04767724,chain_1
-0.18252113,-0.036159426,chain_1
-0.19483848,-0.040384434,chain_1
-0.18992752,-0.032582793,chain_1
-0.18085614,-0.045283306,chain_1
-0.19733705,-0.027953329,chain_1
-0.18839294,-0.035666145,chain_1
-0.20057352,-0.038944878,chain_1
-0.20099913,-0.043848783,chain_1
-0.1973362,-0.027824476,chain_1
-0.18714729,-0.040847976,chain_1
-0.1918867,-0.036408912,chain_1
-0.1918867,-0.036408912,chain_1
-0.17575073,-0.050161228,chain_1
-0.20511389,-0.026460167,chain_1
-0.18829226,-0.045797113,chain_1
-0.19540244,-0.029451288,chain_1
-0.19818717,-0.031139202,chain_1
-0.18568023,-0.03363369,chain_1
-0.19129366,-0.03636251,chain_1
-0.20045826,-0.03444664,chain_1
-0.17630012,-0.036157824,chain_1
-0.19547442,-0.038519084,chain_1
-0.1913504,-0.039391037,chain_1
-0.1778721,-0.033842675,chain_1
-0.19023803,-0.050094724,chain_1
-0.19484758,-0.037793845,chain_1
-0.19106348,-0.043582905,chain_1
-0.19084921,-0.030329084,chain_1
-0.18948367,-0.031462982,chain_1
-0.21776052,-0.033608004,chain_1
-0.1694836,-0.034642432,chain_1
-0.1904885,-0.02955487,chain_1
-0.18982178,-0.04323267,chain_1
-0.16568334,-0.041554153,chain_1
-0.15878314,-0.044405017,chain_1
-0.1976261,-0.042808685,chain_1
-0.21899383,-0.051121496,chain_1
-0.19290319,-0.04259962,chain_1
-0.17369676,-0.03887663,chain_1
-0.18061557,-0.046664774,chain_1
-0.2084018,-0.039654255,chain_1
-0.18822211,-0.04071808,chain_1
-0.1910628,-0.046052564,chain_1
-0.20999373,-0.035131905,chain_1
-0.19029139,-0.030975576,chain_1
-0.18831295,-0.038744986,chain_1
-0.19577496,-0.036364727,chain_1
-0.18627433,-0.03474926,chain_1
-0.19253021,-0.03580719,chain_1
-0.19171716,-0.041082703,chain_1
-0.19016218,-0.04357705,chain_1
-0.19637384,-0.039901715,chain_1
-0.2108341,-0.039831106,chain_1
-0.21487437,-0.038458467,chain_1
-0.21983624,-0.042254332,chain_1
-0.20785233,-0.041315306,chain_1
-0.20587255,-0.04068655,chain_1
-0.19873814,-0.041650515,chain_1
-0.19293122,-0.039208338,chain_1
-0.17317994,-0.035649486,chain_1
-0.23070347,-0.033222917,chain_1
-0.1842349,-0.030936774,chain_1
-0.19668883,-0.036907822,chain_1
-0.19143756,-0.038529087,chain_1
-0.19370039,-0.040486585,chain_1
-0.19031502,-0.037262075,chain_1
-0.195135,-0.03472227,chain_1
-0.18206201,-0.0301366,chain_1
-0.17778042,-0.027859496,chain_1
-0.16991873,-0.02955467,chain_1
-0.18367986,-0.049160127,chain_1
-0.1980976,-0.036348123,chain_1
-0.19859757,-0.036652125,chain_1
-0.1993078,-0.04276284,chain_1
-0.18294792,-0.02981385,chain_1
-0.1964115,-0.022701148,chain_1
-0.2030739,-0.031799402,chain_1
-0.18088867,-0.042056315,chain_1
-0.19391584,-0.038694154,chain_1
-0.21137507,-0.026929406,chain_1
-0.1924288,-0.041220732,chain_1
-0.18595986,-0.044099692,chain_1
-0.1987422,-0.035585802,chain_1
-0.19889173,-0.03133852,chain_1
-0.18451908,-0.041787744,chain_1
-0.20274077,-0.037471004,chain_1
-0.19188549,-0.046176385,chain_1
-0.18914086,-0.041719303,chain_1
-0.17310706,-0.046514083,chain_1
-0.19650082,-0.028422497,chain_1
-0.19475558,-0.039143387,chain_1
-0.18187313,-0.03921126,chain_1
-0.18493792,-0.03766688,chain_1
-0.18493792,-0.03766688,chain_1
-0.18953344,-0.032092176,chain_1
-0.19334309,-0.040649217,chain_1
-0.19333921,-0.040475123,chain_1
-0.20182401,-0.04296248,chain_1
-0.18292943,-0.04015316,chain_1
-0.19121888,-0.0284448,chain_1
-0.18499018,-0.04713188,chain_1
-0.19384964,-0.03370583,chain_1
-0.17496322,-0.040021814,chain_1
-0.17995256,-0.03347552,chain_1
-0.18600479,-0.03409417,chain_1
-0.19010052,-0.0413795,chain_1
-0.17621784,-0.033826698,chain_1
-0.19212726,-0.039099634,chain_1
-0.1780062,-0.039224464,chain_1
-0.1780062,-0.039224464,chain_1
-0.18138503,-0.040543433,chain_1
-0.19309478,-0.03968098,chain_1
-0.19179112,-0.049367405,chain_1
-0.17921607,-0.03657425,chain_1
-0.1818509,-0.04624704,chain_1
-0.18890116,-0.027510794,chain_1
-0.221181,-0.037827477,chain_1
-0.17609261,-0.035257168,chain_1
-0.18695305,-0.031940255,chain_1
-0.18905091,-0.03302988,chain_1
-0.18905091,-0.03302988,chain_1
-0.18996838,-0.03881926,chain_1
-0.19589315,-0.026112815,chain_1
-0.19521052,-0.03203907,chain_1
-0.20103496,-0.038955707,chain_1
-0.18197107,-0.039731737,chain_1
-0.19597903,-0.028337345,chain_1
-0.2031291,-0.037599325,chain_1
-0.20214562,-0.027735861,chain_1
-0.20214562,-0.027735861,chain_1
-0.19720124,-0.038604118,chain_1
-0.18059584,-0.04507996,chain_1
-0.18678413,-0.0316922,chain_1
-0.1953579,-0.03787802,chain_1
-0.19524442,-0.03627791,chain_1
-0.18410046,-0.032136217,chain_1
-0.18682109,-0.03312201,chain_1
-0.20235614,-0.035290595,chain_1
-0.18453127,-0.037356313,chain_1
-0.18719636,-0.0394031,chain_1
-0.20028962,-0.027861498,chain_1
-0.20028962,-0.027861498,chain_1
-0.18764374,-0.03185862,chain_1
-0.20264488,-0.024624119,chain_1
-0.19766553,-0.04560404,chain_1
-0.1810634,-0.03884598,chain_1
-0.20420337,-0.04446885,chain_1
-0.17310004,-0.03519698,chain_1
-0.19813779,-0.024603784,chain_1
-0.18229902,-0.036355276,chain_1
-0.21593192,-0.042537164,chain_1
-0.19850416,-0.042733066,chain_1
-0.2226807,-0.035352334,chain_1
-0.189932,-0.04389061,chain_1
-0.18621357,-0.029210912,chain_1
-0.1814316,-0.031344626,chain_1
-0.18689837,-0.029326556,chain_1
-0.18689837,-0.029326556,chain_1
-0.19421655,-0.0402509,chain_1
-0.19746439,-0.033519372,chain_1
-0.19892529,-0.034396444,chain_1
-0.19873953,-0.044133946,chain_1
-0.19517894,-0.041867774,chain_1
-0.17694162,-0.03941677,chain_1
-0.19746724,-0.03124991,chain_1
-0.17619509,-0.04698477,chain_1
-0.1997365,-0.039002985,chain_1
-0.20820837,-0.041114554,chain_1
-0.1862111,-0.033958185,chain_1
-0.20296271,-0.035148207,chain_1
-0.18822636,-0.042329654,chain_1
-0.18620855,-0.043884054,chain_1
-0.18442367,-0.04085865,chain_1
-0.19617191,-0.040222406,chain_1
-0.21151036,-0.038090557,chain_1
-0.17800453,-0.032922156,chain_1
-0.2015741,-0.033104274,chain_1
-0.18919194,-0.044580426,chain_1
-0.19495064,-0.030653901,chain_1
-0.17800598,-0.03576314,chain_1
-0.20779482,-0.033702385,chain_1
-0.20318371,-0.03949832,chain_1
-0.18220043,-0.04036551,chain_1
-0.18565455,-0.038751084,chain_1
-0.18623051,-0.029807769,chain_1
-0.21193674,-0.032814316,chain_1
-0.20686525,-0.03351669,chain_1
-0.17767906,-0.040735863,chain_1
-0.20569988,-0.027791956,chain_1
-0.21374764,-0.035873663,chain_1
-0.19503577,-0.039565377,chain_1
-0.19204424,-0.039796364,chain_1
-0.18778995,-0.034049477,chain_1
-0.19582988,-0.032202013,chain_1
-0.20062582,-0.0375384,chain_1
-0.20181464,-0.039834127,chain_1
-0.20203772,-0.025932549,chain_1
-0.19356747,-0.03287152,chain_1
-0.19585934,-0.035858948,chain_1
-0.20972341,-0.027744427,chain_1
-0.17695342,-0.046859536,chain_1
-0.18736129,-0.033392727,chain_1
-0.19645597,-0.035549063,chain_1
-0.18895659,-0.032134205,chain_1
-0.19592212,-0.03332605,chain_1
-0.1941081,-0.02645208,chain_1
-0.1941081,-0.02645208,chain_1
-0.1865955,-0.028906193,chain_1
-0.1814119,-0.043979913,chain_1
-0.1814119,-0.043979913,chain_1
-0.18246047,-0.04601548,chain_1
-0.20278226,-0.027268246,chain_1
-0.19055131,-0.042524777,chain_1
-0.17539181,-0.037770975,chain_1
-0.20662344,-0.041804794,chain_1
-0.21346346,-0.03423354,chain_1
-0.20898291,-0.03180012,chain_1
-0.21408977,-0.029774765,chain_1
-0.21408977,-0.029774765,chain_1
-0.21024817,-0.028048005,chain_1
-0.20704463,-0.03200454,chain_1
-0.20704463,-0.03200454,chain_1
-0.1826974,-0.04822147,chain_1
-0.18171589,-0.04872822,chain_1
-0.20013884,-0.03555491,chain_1
-0.18571644,-0.040718503,chain_1
-0.18209273,-0.03509125,chain_1
-0.19993773,-0.034400307,chain_1
-0.18783234,-0.030190874,chain_1
-0.19118062,-0.0317613,chain_1
-0.1915259,-0.033473466,chain_1
-0.18688574,-0.03880013,chain_1
-0.20400175,-0.033478327,chain_1
-0.19079767,-0.033639736,chain_1
-0.20694,-0.04205428,chain_1
-0.20791045,-0.0428989,chain_1
-0.20084195,-0.040662237,chain_1
-0.20569244,-0.047895752,chain_1
-0.18952496,-0.043758772,chain_1
-0.19276933,-0.04728446,chain_1
-0.19416651,-0.032235555,chain_1
-0.19751969,-0.03603438,chain_1
-0.19168265,-0.036229223,chain_1
-0.19270566,-0.03793214,chain_1
-0.19467068,-0.034155093,chain_1
-0.2107555,-0.03129407,chain_1
-0.20936075,-0.035053175,chain_1
-0.17862302,-0.031817995,chain_1
-0.20002519,-0.03997012,chain_1
-0.18771629,-0.036431327,chain_1
-0.19284385,-0.048894636,chain_1
-0.18960194,-0.048120286,chain_1
-0.18656334,-0.047603138,chain_1
-0.19791266,-0.041712582,chain_1
-0.2016983,-0.04220365,chain_1
-0.17610803,-0.039362177,chain_1
-0.20284799,-0.028832605,chain_1
-0.18890968,-0.0383853,chain_1
-0.19582343,-0.030035516,chain_1
-0.18899778,-0.039262585,chain_1
-0.18010336,-0.035936747,chain_1
-0.1900773,-0.03793148,chain_1
-0.18063705,-0.03501776,chain_1
-0.18418616,-0.041199394,chain_1
-0.19731808,-0.034987476,chain_1
-0.21769102,-0.033020966,chain_1
-0.19352442,-0.03301097,chain_1
-0.19352442,-0.03301097,chain_1
-0.19596401,-0.0354527,chain_1
-0.1685326,-0.04251988,chain_1
-0.1909688,-0.046865404,chain_1
-0.1909688,-0.046865404,chain_1
-0.18882005,-0.024564411,chain_1
-0.18634364,-0.029310072,chain_1
-0.17618409,-0.03345921,chain_1
-0.18400443,-0.03354566,chain_1
-0.19250788,-0.03942125,chain_1
-0.18619855,-0.032370675,chain_1
-0.19131468,-0.03116482,chain_1
-0.19131468,-0.03116482,chain_1
-0.17993528,-0.041237332,chain_1
-0.19290923,-0.031187126,chain_1
-0.20943967,-0.044135176,chain_1
-0.18442318,-0.03655444,chain_1
-0.17735143,-0.03253647,chain_1
-0.2100665,-0.03350433,chain_1
-0.18381637,-0.03352832,chain_1
-0.19913262,-0.04302907,chain_1
-0.21141711,-0.024830954,chain_1
-0.1749877,-0.04794472,chain_1
-0.19618243,-0.046783675,chain_1
-0.19618547,-0.044375654,chain_1
-0.15560636,-0.039780438,chain_1
-0.1643326,-0.03723674,chain_1
-0.21361229,-0.032633208,chain_1
-0.19261976,-0.019529007,chain_1
-0.21182013,-0.042713422,chain_1
-0.20666443,-0.029038988,chain_1
-0.20919448,-0.026299985,chain_1
-0.21392274,-0.027537907,chain_1
-0.18208377,-0.023609135,chain_1
-0.18198313,-0.042148024,chain_1
-0.19857982,-0.04010459,chain_1
-0.17076512,-0.033459116,chain_1
-0.20944169,-0.035856582,chain_1
-0.18735889,-0.023924708,chain_1
-0.19513004,-0.023519864,chain_1
-0.17667875,-0.05055197,chain_1
-0.18372893,-0.047308877,chain_1
-0.18483976,-0.027510993,chain_1
-0.1858454,-0.03342357,chain_1
-0.19768377,-0.035229422,chain_1
-0.18422955,-0.040335834,chain_1
-0.19538224,-0.03340602,chain_1
